0.640255,	0.755134,	0.566882,	0.884734,	0.678344,	0.675138,	0.750194,	0.384049,	0.691774,	0.828017,	0.283876,	0.738666,	-0.0635527,	0.161382,	-0.326639,	-0.208586,	-0.527899,	-0.439665,	-0.584718,	-0.555214,	-0.741255,	-0.866197,	-0.489616,	-0.265218,	-0.298014,	-1.07996,	-0.874217,	-1.02806,	-0.918442,	-1.20609,	-1.42164,	-1.06281,	-1.32444,	-1.46137,	-0.51212,	-1.00586,	-0.4352,	-0.585686,	-1.28362,	-0.545894,	-0.447693,	-0.429695,	-0.437951,	-0.68269,	-0.0349667,	-0.482767,	-0.241288,	0.37854,	0.443876,	0.0889459,	
0.101681,	0.486613,	0.878712,	0.963473,	0.726287,	0.541241,	1.12863,	0.777111,	1.28987,	0.460658,	0.992597,	1.19977,	0.675844,	0.836392,	0.680898,	0.798515,	0.854089,	0.962949,	0.418136,	0.868457,	0.528714,	0.426048,	0.351496,	0.180237,	0.894964,	0.782297,	0.569974,	0.381636,	-0.270233,	-0.185631,	-0.45671,	-0.742346,	-0.522735,	-0.23176,	-0.394033,	-0.55895,	-0.739683,	-0.961219,	-0.809434,	-0.603889,	-0.648722,	-0.871666,	-0.727181,	-0.846691,	-1.37647,	-0.992774,	-1.13743,	-1.37022,	-1.28258,	-1.19102,	
-0.666801,	-0.849057,	-0.519862,	-0.884042,	-1.05123,	-0.443254,	-0.605946,	0.154941,	0.212113,	-0.202744,	-0.470719,	0.275673,	0.540175,	0.771245,	-0.0495762,	0.433629,	0.65076,	0.834234,	0.939865,	0.936111,	1.07077,	0.767054,	1.01522,	0.580851,	0.543847,	1.47756,	0.784258,	1.08606,	1.43499,	0.630638,	0.600487,	0.702611,	1.23878,	0.633417,	0.44541,	0.246868,	0.408813,	0.298097,	-0.0380704,	0.169991,	-0.27175,	0.151785,	-0.551813,	-0.0888541,	0.0299125,	-0.619557,	-0.498465,	-0.464226,	-1.05395,	-0.694683,	
-0.617373,	-1.09955,	-0.536681,	-0.446856,	-0.60658,	-0.972454,	-1.2153,	-0.753351,	-1.25884,	-0.524272,	-0.837399,	-0.823871,	-1.20877,	-1.23946,	-1.01469,	-0.343827,	-0.216761,	-0.347352,	-0.235496,	-0.639882,	-0.19911,	0.132819,	-0.174835,	0.509678,	-0.289058,	0.040381,	0.327153,	-0.0305009,	0.723644,	0.6386,	0.689677,	1.06197,	1.15511,	1.14179,	0.718473,	0.891732,	1.22125,	0.598699,	0.608515,	0.768612,	1.01334,	1.44145,	1.14963,	0.712114,	0.643749,	1.14617,	1.14303,	0.798926,	0.336692,	0.0858516,	
0.746338,	0.39962,	0.666682,	-0.318909,	0.104992,	-0.294455,	0.149049,	-0.585031,	-0.428063,	-0.568055,	-0.221155,	-0.451648,	-0.995426,	-0.95241,	-1.19649,	-0.710329,	-0.853481,	-1.28815,	-1.33413,	-1.01977,	-0.591858,	-0.941907,	-1.44533,	-1.39882,	-0.612515,	-0.92193,	-0.937659,	-0.469466,	-0.826043,	-0.582302,	-0.321176,	-0.0742135,	-0.525404,	-0.108842,	0.313598,	-0.485938,	0.125065,	0.0515035,	0.0449494,	0.0954869,	0.682945,	1.00768,	0.282206,	0.953996,	0.439142,	1.29877,	1.16368,	0.832046,	1.17401,	0.971391,	
1.30019,	0.855973,	0.570982,	1.07704,	1.37469,	0.627081,	0.825174,	1.09254,	0.324705,	1.16614,	0.910593,	0.626379,	0.16637,	0.390623,	0.316744,	0.696378,	0.458204,	0.465941,	0.0826281,	-0.2917,	0.14284,	-0.406673,	-0.744526,	-0.665429,	-0.436431,	-0.656328,	-0.524492,	-0.344073,	-0.427166,	-0.895684,	-0.498736,	-1.36922,	-1.44579,	-1.19532,	-0.911923,	-0.943681,	-0.54623,	-0.870213,	-0.933009,	-0.767906,	-0.535643,	-1.16139,	-0.300382,	-0.87602,	-0.452101,	-0.581484,	-0.373591,	0.0171436,	-0.375506,	-0.166374,	
-0.147527,	-0.0528091,	0.174308,	0.819683,	0.497934,	0.513025,	0.364425,	1.22341,	0.723694,	1.21432,	1.03007,	0.82712,	1.35396,	1.27814,	0.964827,	1.31044,	1.38155,	0.88916,	0.761475,	0.981754,	1.23621,	0.977071,	0.585498,	0.868962,	1.00774,	0.510545,	0.417261,	0.09392,	-0.243126,	-0.231405,	-0.420288,	-0.149546,	-0.702331,	0.106848,	-0.258871,	-0.989616,	-1.04517,	-0.945845,	-0.771577,	-1.16424,	-1.33992,	-0.670071,	-1.08265,	-0.686579,	-1.05096,	-1.06179,	-1.44988,	-1.44023,	-1.37965,	-0.847887,	
-1.16261,	-0.515061,	-0.443399,	-0.273181,	-0.676714,	-0.867473,	-0.777871,	-0.378551,	-0.0603393,	-0.37877,	-0.166732,	0.111012,	0.488959,	-0.167585,	0.48399,	0.440924,	0.387686,	0.925292,	0.515357,	0.376319,	0.898748,	0.949837,	0.70595,	1.22437,	1.45508,	1.46122,	0.622129,	0.73224,	0.518548,	1.08732,	0.565883,	0.828174,	1.26123,	0.872967,	0.633273,	0.404415,	0.561857,	0.995751,	0.0768303,	0.332293,	0.623539,	-0.287518,	0.261476,	0.448898,	-0.346457,	-0.594286,	-0.13885,	-0.00749972,	-0.394744,	-0.189236,	
-0.973504,	-0.483569,	-0.955414,	-0.938721,	-1.24873,	-0.623519,	-0.846247,	-0.751557,	-0.694059,	-1.43102,	-0.536549,	-0.968994,	-0.680999,	-0.65396,	-0.5165,	-1.13392,	-0.768012,	-0.534871,	-0.141914,	-0.154398,	-0.0045618,	-0.223969,	-0.127181,	0.243656,	-0.476635,	0.473804,	0.0951157,	-0.179104,	0.624948,	0.12413,	0.199022,	0.741338,	0.463777,	0.60028,	0.736992,	0.792305,	0.814001,	1.07022,	0.650321,	0.684708,	0.594472,	0.816267,	1.24599,	0.684074,	1.15439,	1.06178,	1.13929,	1.0813,	0.477267,	0.417015,	
0.548352,	0.263048,	0.677645,	0.560695,	0.209494,	-0.183967,	0.133677,	-0.412726,	-0.28798,	-0.455423,	-0.393577,	-0.0283437,	-0.3475,	-0.198917,	-1.01445,	-0.783053,	-1.31444,	-0.65462,	-0.846025,	-0.617872,	-0.504058,	-0.57023,	-1.08759,	-1.48419,	-0.921245,	-1.22237,	-1.1695,	-1.01278,	-1.18406,	-0.46611,	-0.391635,	-0.516949,	-0.636623,	-0.0521848,	-0.237867,	0.264085,	0.298289,	-0.138183,	0.151521,	0.0505562,	0.423395,	0.690932,	0.729957,	0.194556,	0.970667,	0.246199,	0.701048,	1.07574,	1.17498,	0.801237,	
1.20983,	1.37861,	0.74046,	0.629001,	0.716034,	0.82264,	0.731653,	1.33456,	0.411828,	0.898025,	0.405053,	1.00994,	0.261767,	0.513141,	0.921899,	0.185384,	-0.218836,	-0.150482,	-0.06589,	-0.23001,	-0.433388,	0.175445,	-0.172566,	0.0148344,	-0.596362,	-0.175716,	-1.18578,	-0.649958,	-0.520244,	-1.14119,	-0.485814,	-0.689959,	-0.652187,	-0.920809,	-0.707393,	-1.16664,	-1.25799,	-1.14502,	-0.83927,	-0.551038,	-1.03885,	-0.866827,	-0.339707,	-0.512397,	-0.0550544,	-0.756191,	-0.0417338,	-0.0984477,	-0.427986,	-0.102007,	
