1.30899,	0.851513,	0.55331,	1.04633,	1.33125,	0.571348,	0.757703,	1.014,	0.235891,	1.06793,	0.803976,	0.512417,	0.0462007,	0.265448,	0.187813,	0.56498,	0.325652,	0.333559,	-0.0482611,	-0.419788,	0.0188322,	-0.525362,	-0.85671,	-0.769986,	-0.532316,	-0.742585,	-0.600258,	-0.408591,	-0.479791,	-0.935891,	-0.526122,	-1.38351,	-1.44685,	-1.18313,	-0.886606,	-0.905492,	-0.49555,	-0.80755,	-0.858987,	-0.683265,	-0.441229,	-1.05815,	-0.18934,	-0.75829,	-0.328858,	-0.45396,	-0.243061,	0.149376,	-0.242892,	-0.0347036,	
-0.018116,	0.0730493,	0.295356,	0.934712,	0.605795,	0.612639,	0.454797,	1.30364,	0.792975,	1.27197,	1.0755,	0.85988,	1.37372,	1.28471,	0.958139,	1.29056,	1.34868,	0.843622,	0.703727,	0.912372,	1.15589,	0.886613,	0.485806,	0.761033,	0.89265,	0.389448,	0.291366,	-0.0355165,	-0.37481,	-0.364022,	-0.552511,	-0.280055,	-0.829822,	-0.0163509,	-0.376547,	-1.10059,	-1.14833,	-1.04018,	-0.856127,	-1.23817,	-1.40248,	-0.720642,	-1.12073,	-0.711779,	-1.06304,	-1.06062,	-1.43547,	-1.41273,	-1.33933,	-0.795154,	
-1.09799,	-0.439199,	-0.357053,	-0.177214,	-0.572084,	-0.755227,	-0.65913,	-0.254501,	0.0677798,	-0.247862,	-0.0343425,	0.24356,	0.620341,	-0.0386821,	0.609126,	0.561044,	0.501589,	1.03184,	0.613484,	0.465045,	0.977188,	1.01721,	0.761575,	1.2677,	1.48567,	1.47878,	0.626472,	0.723325,	0.496465,	1.05229,	0.518256,	0.768426,	1.18996,	0.790882,	0.541196,	0.303267,	0.452647,	0.879571,	-0.0451592,	0.205713,	0.493634,	-0.419451,	0.128833,	0.316871,	-0.476549,	-0.721144,	-0.261205,	-0.12413,	-0.504484,	-0.290989,	
-1.06625,	-0.566389,	-1.02748,	-0.999305,	-1.29723,	-0.659453,	-0.869254,	-0.761408,	-0.690655,	-1.41439,	-0.506869,	-0.926556,	-0.626227,	-0.587401,	-0.438818,	-1.0459,	-0.670519,	-0.428885,	-0.0284952,	-0.03468,	0.12026,	-0.0952905,	0.00406861,	0.376165,	-0.344191,	0.60486,	0.223475,	-0.0547252,	0.744104,	0.236873,	0.304225,	0.837951,	0.550833,	0.676911,	0.802431,	0.845898,	0.855213,	1.09864,	0.665663,	0.68682,	0.583333,	0.791989,	1.20882,	0.634372,	1.09266,	0.988633,	1.05546,	0.987627,	0.37469,	0.306555,	
0.431112,	0.1402,	0.550416,	0.430357,	0.0773491,	-0.3166,	0.0018832,	-0.542364,	-0.414168,	-0.5769,	-0.509128,	-0.136815,	-0.447809,	-0.29006,	-1.09552,	-0.853233,	-1.37304,	-0.701039,	-0.879807,	-0.63868,	-0.511684,	-0.564597,	-1.06875,	-1.45234,	-0.8767,	-1.16557,	-1.10102,	-0.933304,	-1.09438,	-0.367118,	-0.284324,	-0.402391,	-0.515961,	0.0733741,	-0.108666,	0.395638,	0.430879,	-0.0058794,	0.282215,	0.178335,	0.546982,	0.809092,	0.841509,	0.298387,	1.06574,	0.33156,	0.775847,	1.13923,	1.22652,	0.840324,	
1.23607,	1.39173,	0.740342,	0.615642,	0.689566,	0.783329,	0.679891,	1.27087,	0.336835,	0.812483,	0.309818,	0.905964,	0.150088,	0.394875,	0.798227,	0.0575423,	-0.34957,	-0.282802,	-0.198474,	-0.361533,	-0.562536,	0.0499626,	-0.293129,	-0.0996055,	-0.703535,	-0.27455,	-1.27529,	-0.729247,	-0.588521,	-1.19777,	-0.530137,	-0.72158,	-0.670789,	-0.926207,	-0.699533,	-1.1456,	-1.22398,	-1.09838,	-0.780466,	-0.480659,	-0.957595,	-0.775513,	-0.239245,	-0.40379,	0.0606124,	-0.63462,	0.0845264,	0.0312403,	-0.296165,	0.0306279,	
0.0533267,	0.351558,	0.647991,	0.0444141,	0.848275,	0.950142,	0.5397,	0.684555,	0.888478,	1.07066,	1.15721,	1.20839,	0.865907,	0.922591,	1.45622,	1.06944,	1.33283,	0.736267,	1.04947,	0.973468,	1.29769,	0.360908,	0.708542,	0.655596,	0.143801,	0.872398,	0.761544,	0.2218,	0.467362,	-0.264921,	0.106539,	-0.352411,	-0.266008,	0.0358216,	-0.705408,	-0.687183,	-0.592256,	-0.816503,	-0.428057,	-0.304023,	-1.18952,	-1.16027,	-0.734531,	-1.09155,	-0.513915,	-0.526041,	-0.8554,	-0.629768,	-1.06886,	-0.809994,	
-0.418456,	-0.796953,	-0.36702,	-0.51645,	-0.681575,	-0.448752,	-0.116442,	-0.716602,	-0.427083,	0.265838,	-0.225612,	0.130545,	0.472971,	0.666224,	0.421518,	-0.0283782,	-0.00949849,	0.659141,	0.68945,	1.15931,	1.01152,	0.988353,	0.901321,	0.681301,	1.41759,	1.02045,	0.525363,	1.19631,	1.01463,	0.53892,	1.34511,	0.750917,	0.606858,	0.438782,	0.575192,	0.424502,	0.772911,	0.105715,	0.228236,	0.14335,	0.646709,	0.113422,	0.325765,	0.0732091,	0.153541,	-0.614136,	0.154434,	-0.0683576,	-0.954966,	-0.623017,	
-0.841285,	-0.607788,	-1.07138,	-0.777461,	-0.801295,	-0.84264,	-1.02274,	-1.45469,	-0.985357,	-1.09051,	-1.37929,	-1.0067,	-0.985262,	-0.845225,	-0.542225,	-0.589574,	-0.353086,	-1.10078,	-0.854416,	-0.529845,	0.0585483,	-0.0164422,	-0.258053,	-0.277842,	-0.452405,	0.329289,	0.194179,	-0.0155608,	0.305993,	0.137991,	0.806808,	0.50373,	1.15111,	0.293299,	1.16426,	1.01252,	0.966557,	1.11093,	1.21006,	0.591104,	1.37742,	0.507443,	0.770699,	0.62987,	1.34032,	0.437139,	0.896304,	0.89047,	0.835168,	0.972268,	
0.0812745,	0.754604,	0.374725,	0.444751,	-0.135099,	0.0963485,	0.155631,	0.310056,	-0.299863,	-0.754592,	-0.874838,	-0.390597,	-0.306542,	-0.488181,	-0.903927,	-0.364796,	-0.84569,	-0.457683,	-1.37441,	-1.26801,	-0.717308,	-0.585527,	-0.714554,	-1.189,	-1.31028,	-0.58219,	-0.60393,	-1.06776,	-1.0522,	-0.892621,	-0.310583,	-0.238067,	-0.404073,	-0.312689,	-0.504421,	0.00567495,	0.201713,	-0.0530971,	0.0513349,	0.169537,	0.0796317,	0.569683,	0.887747,	0.977546,	0.89547,	0.48156,	0.976257,	0.476161,	0.517106,	0.624854,	
0.610698,	1.07138,	0.571218,	1.32173,	1.21387,	1.39848,	0.937207,	1.06196,	1.25064,	0.843883,	0.524359,	1.14749,	0.130632,	0.337185,	0.895583,	0.195009,	0.043236,	-0.24323,	0.452037,	-0.4282,	-0.330873,	0.136805,	-0.356106,	-0.331991,	-0.451202,	-0.417798,	-1.16228,	-0.732382,	-1.28925,	-0.547026,	-1.0783,	-0.606511,	-1.23257,	-0.912782,	-0.562298,	-1.4479,	-1.42747,	-1.43679,	-0.742315,	-0.782324,	-1.21528,	-0.473136,	-0.583914,	-1.05692,	-0.976963,	-0.823883,	-0.0800516,	-0.681911,	-0.439066,	-0.334145,	
