0.956058,	0.596674,	1.47546,	0.787429,	0.718408,	0.439628,	0.62358,	0.311193,	0.702135,	0.883036,	0.671372,	0.0434878,	-0.0567798,	0.544739,	0.575102,	0.104509,	-0.420045,	0.196964,	-0.389104,	-0.529317,	-0.169833,	-0.994509,	-1.04005,	-0.49836,	-0.633926,	-0.775041,	-0.627179,	-0.696819,	-0.660845,	-1.18298,	-0.797461,	-0.942465,	-1.10177,	-1.42589,	-0.686623,	-1.09887,	-0.788893,	-0.606846,	-1.18615,	-1.09804,	-0.604104,	-0.589595,	-0.0997851,	-0.101839,	-0.0729918,	-0.659464,	-0.539267,	-0.423861,	0.38585,	0.629521,	
0.467378,	0.0100607,	0.691241,	0.164728,	0.252186,	0.849388,	0.60438,	0.988525,	1.13465,	1.01066,	1.2002,	0.718095,	1.2315,	1.47046,	1.36012,	0.562822,	0.816669,	0.783582,	1.05443,	0.913667,	1.04327,	0.5522,	0.314379,	0.112744,	0.710481,	0.0523098,	0.139531,	0.205152,	-0.217091,	0.0959385,	-0.16102,	-0.591699,	-0.0572229,	-0.830771,	-0.725222,	-0.864639,	-0.647848,	-1.15715,	-0.905778,	-1.26059,	-1.29885,	-0.663294,	-1.18327,	-0.888692,	-0.53527,	-1.06469,	-0.789936,	-0.704266,	-0.997784,	-0.733693,	
-1.22932,	-0.346808,	-1.0268,	-0.874648,	-0.263154,	-0.487933,	-0.11638,	-0.395283,	-0.421391,	-0.558194,	0.177721,	0.0338005,	0.154744,	0.409603,	-0.0471058,	0.299116,	0.841012,	0.844029,	0.345765,	0.416222,	0.436206,	0.401026,	0.856743,	1.12031,	1.20911,	1.02901,	0.608253,	1.12285,	0.599332,	0.579163,	0.506041,	0.502994,	0.474135,	0.438998,	0.489673,	0.41135,	0.229267,	0.174416,	0.723737,	0.438173,	0.192475,	-0.278408,	-0.350761,	-0.584768,	0.153983,	-0.148209,	-0.388696,	-0.720155,	-0.949149,	-0.568475,	
-0.271753,	-1.15038,	-1.11594,	-1.02113,	-1.37896,	-0.794357,	-1.09179,	-0.517133,	-1.09358,	-0.860946,	-1.30329,	-1.04279,	-1.22024,	-0.571693,	-0.398837,	-0.85162,	-0.442292,	-0.752837,	-0.430049,	-0.0373449,	-0.177673,	-0.342498,	-0.279453,	-0.0261687,	0.0435893,	0.0790463,	0.374063,	0.651438,	0.422291,	0.5114,	0.285189,	0.256426,	0.586538,	0.670277,	1.05433,	1.39646,	1.40475,	0.946724,	0.739251,	1.26263,	1.24803,	1.20945,	1.18291,	0.506174,	1.03385,	0.759076,	0.443549,	0.258168,	0.904896,	0.172196,	
0.071652,	0.480888,	0.612963,	0.13662,	0.223053,	-0.425973,	0.274774,	-0.235133,	-0.190859,	-0.924904,	-0.238525,	-0.3799,	-1.08284,	-0.745469,	-1.00447,	-0.835342,	-1.02559,	-1.04282,	-1.30105,	-1.24046,	-1.47943,	-0.570406,	-0.82457,	-0.52007,	-1.25407,	-0.452207,	-0.525648,	-0.681716,	-0.750294,	-0.857038,	-0.280887,	-0.717021,	-0.789907,	0.00836991,	0.00996422,	0.153307,	0.180107,	0.0566653,	0.126575,	0.647793,	0.241607,	0.827007,	0.884708,	1.02511,	0.74898,	0.942071,	1.31231,	0.851784,	0.505169,	1.33979,	
1.12239,	0.854538,	1.49474,	0.710216,	1.11695,	1.03831,	0.780052,	0.485564,	0.310656,	0.640928,	0.33102,	0.793334,	0.35289,	0.734234,	0.533128,	0.273161,	-0.219792,	0.460922,	-0.330991,	0.22938,	-0.568368,	-0.512594,	-0.888818,	-0.421603,	-0.960891,	-1.16984,	-0.55795,	-0.992117,	-0.72898,	-1.04688,	-0.835259,	-1.46319,	-0.586669,	-0.699112,	-0.746267,	-0.661532,	-1.06413,	-0.793485,	-0.789495,	-0.780521,	-0.972988,	-0.929439,	-0.649664,	-0.790817,	-0.126126,	0.147785,	-0.712691,	-0.108957,	-0.458038,	0.356934,	
0.643396,	-0.180934,	0.786867,	-0.0424771,	0.710671,	0.892792,	0.719331,	1.13984,	1.21524,	0.995774,	0.552611,	0.668311,	0.658919,	0.535108,	0.606815,	1.11291,	1.42277,	0.814377,	0.837775,	1.36946,	1.2798,	0.95165,	1.19635,	0.900838,	0.390334,	0.630114,	0.121321,	0.0783176,	0.365818,	0.114461,	-0.101683,	-0.0103968,	0.0388561,	-0.224645,	-0.34982,	-0.407464,	-0.563731,	-1.07172,	-0.506973,	-0.295355,	-0.994036,	-0.425892,	-1.09032,	-0.580481,	-1.03292,	-1.08492,	-1.28137,	-1.36421,	-1.16183,	-0.71582,	
-0.62082,	-0.662643,	-1.29081,	-0.39358,	-0.243281,	-0.316829,	-0.961419,	-0.537153,	-0.118109,	0.00317597,	-0.403687,	-0.259257,	0.244654,	0.148335,	0.392071,	0.0996303,	0.131511,	0.870693,	0.889227,	1.13182,	0.373303,	0.508064,	0.477103,	0.91117,	0.648844,	1.37613,	0.594182,	0.544165,	1.05221,	1.25238,	0.767014,	0.599697,	0.716112,	0.534979,	0.774422,	1.10243,	0.749838,	0.141089,	0.343659,	-0.0838536,	0.267926,	0.100813,	0.567412,	0.281515,	-0.144074,	0.166381,	-0.686583,	-0.526949,	-0.0782563,	-0.171725,	
-0.453364,	-0.619656,	-0.958387,	-0.421319,	-1.27968,	-0.711934,	-0.824693,	-0.656965,	-1.10089,	-0.74842,	-0.652119,	-1.14411,	-0.883883,	-0.417236,	-0.798321,	-0.96,	-0.60585,	-0.792335,	-0.317587,	-0.575586,	-0.40764,	-0.111744,	0.262806,	-0.283515,	0.326303,	0.327456,	0.641559,	-0.183564,	0.235669,	0.631955,	0.336615,	0.365762,	0.920425,	0.900699,	0.92581,	1.04637,	0.475365,	0.809203,	0.93477,	0.73752,	1.21489,	1.34926,	0.757904,	1.18101,	0.551786,	1.20568,	0.453813,	0.841528,	0.550056,	0.914406,	
0.529103,	0.427343,	0.722851,	0.103542,	0.10194,	0.516599,	-0.504592,	0.32658,	-0.555199,	-0.17287,	-0.345738,	-0.344935,	-0.741699,	-0.559094,	-0.438084,	-1.29235,	-1.28201,	-0.436694,	-0.796655,	-1.2438,	-1.08884,	-1.37769,	-1.22867,	-1.22669,	-1.13046,	-1.27787,	-1.04078,	-1.21693,	-0.39586,	-1.11937,	-0.210104,	-0.661229,	-0.927354,	-0.542145,	-0.0544734,	0.101224,	-0.0496388,	0.191537,	0.498752,	-0.241334,	0.104254,	-0.0595012,	0.179559,	0.789186,	0.870026,	1.09885,	0.869052,	0.415015,	1.31635,	1.23432,	
0.750913,	1.03,	1.48263,	1.21508,	1.32994,	0.905887,	0.915194,	0.967787,	0.629606,	1.05438,	0.746042,	0.818345,	0.401952,	0.149665,	0.398143,	0.192436,	0.5222,	0.416153,	0.204783,	-0.430174,	-0.641435,	-0.200834,	-0.554935,	-0.00786972,	-0.0534317,	-0.829432,	-0.390794,	-0.364154,	-0.723794,	-0.490152,	-0.474551,	-0.904064,	-0.75025,	-0.917515,	-1.47412,	-1.04915,	-0.835146,	-0.9362,	-1.05148,	-0.443818,	-0.499777,	-0.420295,	-0.82923,	-0.533952,	-0.17369,	-0.0263885,	-0.200479,	-0.567533,	-0.0230844,	-0.505741,	
