0.314724,	0.505625,	-0.174344,	0.708896,	0.521778,	0.0769659,	0.343141,	0.691099,	1.17486,	1.24822,	0.499084,	1.3618,	1.38921,	0.948934,	1.28573,	0.639381,	0.921335,	1.4074,	1.26605,	1.40579,	1.06504,	0.398921,	1.15763,	1.1797,	0.854198,	0.856212,	0.758634,	0.319607,	0.490466,	-0.089564,	0.347166,	-0.426586,	-0.281451,	-0.611574,	-0.658409,	-0.0273254,	-0.247692,	-0.712737,	-0.161636,	-1.15332,	-0.818058,	-0.936719,	-0.606059,	-0.620966,	-1.26473,	-0.987766,	-1.0481,	-0.85361,	-0.7868,	-0.727766,	
-1.1829,	-0.746112,	-0.728357,	-1.16966,	-1.15377,	-0.707176,	-0.171523,	-0.7103,	-0.379334,	-0.650065,	-0.0281484,	-0.427067,	-0.0771324,	0.215891,	0.507452,	0.674411,	0.358757,	0.0434744,	0.143407,	0.335948,	0.997704,	0.483251,	1.10795,	0.593962,	1.32797,	0.787984,	0.664515,	0.739252,	1.11459,	0.97223,	0.841018,	1.30072,	1.02599,	0.951895,	1.27179,	0.584326,	0.991597,	0.916698,	0.465363,	0.568842,	-0.0120272,	-0.126952,	0.253687,	0.403622,	0.458786,	-0.445245,	-0.105503,	-0.30237,	-0.854577,	-0.620413,	
-0.881839,	-0.330786,	-0.88866,	-0.739153,	-1.16218,	-0.777714,	-1.1598,	-0.802556,	-0.791722,	-0.747285,	-1.04945,	-1.41073,	-1.2502,	-0.540682,	-1.26695,	-0.549635,	-0.784486,	-0.265849,	-1.11535,	-0.675459,	-0.92992,	0.0122506,	-0.853595,	0.0116787,	0.151699,	0.302373,	-0.381941,	0.0330147,	-0.00861977,	0.627543,	0.351581,	0.919309,	0.273921,	0.433373,	0.385915,	0.439853,	1.22845,	0.985659,	0.993556,	0.616962,	1.34364,	1.12136,	0.848979,	1.00002,	0.867466,	0.510862,	0.634707,	0.469066,	0.47216,	0.462834,	
0.567555,	0.120851,	0.889115,	0.841528,	0.293982,	0.19572,	-0.0545269,	0.408017,	-0.22266,	-0.579656,	-0.00765125,	-0.492333,	-0.730731,	-0.65414,	-1.04165,	-1.07981,	-0.336301,	-0.381007,	-0.812358,	-1.36934,	-1.22662,	-1.13091,	-0.675706,	-1.48437,	-1.44964,	-1.30664,	-0.799729,	-0.68086,	-0.719456,	-0.862233,	-0.703978,	-0.884993,	-0.36014,	-0.833354,	-0.24779,	-0.658969,	-0.378489,	-0.0233805,	0.230692,	-0.368452,	0.579263,	0.523547,	0.330107,	0.371224,	0.46985,	0.411889,	0.690472,	0.762345,	1.1313,	1.16248,	
1.05726,	0.827734,	1.2874,	1.02559,	0.85052,	1.43583,	1.35985,	1.01131,	1.05127,	0.974202,	0.544398,	0.57904,	0.682085,	0.367911,	0.901624,	0.166403,	0.107172,	-0.0422393,	-0.082349,	0.0267211,	-0.197749,	0.314743,	-0.277129,	-0.619148,	0.00732529,	-0.00742613,	-0.633056,	-1.03984,	-0.96543,	-0.880078,	-0.751324,	-1.13298,	-0.832367,	-0.754672,	-1.26517,	-1.38066,	-1.2026,	-1.17171,	-1.04763,	-0.935543,	-1.32006,	-1.09622,	-0.502241,	-1.21056,	-0.240056,	-0.361027,	-0.519288,	-0.340836,	-0.589352,	-0.271797,	
0.330737,	0.0140703,	0.0883439,	-0.101926,	0.252986,	0.483118,	0.629576,	0.432837,	0.486272,	1.18215,	0.300297,	1.2085,	1.28917,	1.21586,	0.552997,	0.741229,	0.830002,	1.17972,	0.631904,	1.20199,	0.563138,	1.07619,	0.873447,	1.10638,	0.982153,	1.10296,	1.0153,	0.377439,	0.655492,	0.0634624,	-0.198553,	0.417526,	0.0742879,	-0.0457412,	0.279387,	-0.113889,	-0.202274,	-0.0534852,	-0.1963,	-0.508916,	-0.980711,	-0.995068,	-0.41251,	-1.32639,	-0.912653,	-1.2731,	-0.491425,	-0.776793,	-0.99851,	-1.02741,	
-1.42841,	-0.785724,	-1.39526,	-1.32687,	-0.828319,	-1.1964,	-0.410212,	-0.33877,	-0.355275,	-0.843476,	-0.244432,	-0.292102,	0.258722,	0.0333244,	0.284405,	0.0377722,	0.115427,	0.605582,	-0.0418299,	0.0985595,	0.224815,	0.522893,	1.03755,	1.07669,	0.393231,	0.783128,	0.953026,	0.875975,	1.13948,	1.12422,	0.791896,	0.925242,	0.49283,	1.43539,	0.582978,	0.477356,	0.690176,	0.45434,	0.676809,	0.450649,	0.980713,	0.862056,	-0.0973716,	0.49254,	-0.074012,	-0.0196769,	0.00540287,	0.300738,	-0.322367,	0.147228,	
-0.626728,	-0.315163,	-0.432845,	-0.636991,	-0.548191,	-0.642491,	-1.18552,	-1.28165,	-0.447506,	-1.30293,	-1.45918,	-0.938399,	-0.615565,	-0.816123,	-1.27289,	-1.0628,	-0.930078,	-0.359353,	-1.12637,	-0.361214,	-0.498774,	-0.687637,	-0.787722,	-0.460347,	-0.31265,	-0.577187,	-0.00944217,	-0.272924,	-0.0146638,	0.282526,	0.0481747,	0.180677,	0.597296,	0.330656,	0.969273,	1.20064,	1.01413,	0.685828,	0.975679,	0.54013,	1.3701,	1.36525,	1.31532,	0.760275,	1.08591,	0.496158,	0.871272,	0.721646,	0.524245,	0.48674,	
0.667999,	0.269037,	0.696284,	0.485664,	0.622526,	0.534039,	0.376918,	-0.326155,	-0.390501,	-0.239661,	-0.127758,	-0.101954,	-0.443996,	-0.123336,	-0.31223,	-0.143911,	-0.657077,	-0.932237,	-1.21316,	-0.761052,	-0.637719,	-1.02842,	-1.38689,	-1.22732,	-1.34628,	-1.21508,	-1.0422,	-0.931529,	-0.968054,	-0.507667,	-0.813723,	-0.328578,	-0.567202,	-0.172884,	-0.809237,	-0.287693,	-0.583988,	-0.106754,	0.0138514,	-0.514212,	-0.227508,	-0.158529,	0.38382,	0.656777,	0.250124,	0.775405,	0.754496,	0.164371,	0.831747,	0.680979,	
1.26689,	0.400248,	0.900757,	0.892491,	0.94922,	1.26875,	0.821372,	1.27397,	0.94103,	0.476192,	0.577663,	1.0759,	0.771438,	0.386515,	0.503429,	0.691586,	0.191997,	0.649736,	0.0611061,	0.639448,	-0.107365,	0.289388,	-0.387375,	-0.387703,	-0.681502,	-0.291096,	-0.274962,	-0.498173,	-0.700035,	-0.556066,	-0.620637,	-0.649308,	-0.744331,	-0.477943,	-1.24796,	-0.771827,	-1.25929,	-1.38059,	-0.887156,	-1.02886,	-0.995027,	-0.757034,	-0.604737,	-0.972106,	-0.599399,	-0.776726,	-0.27551,	-0.202906,	-0.692413,	-0.243939,	
-0.180126,	-0.123989,	0.304505,	-0.20071,	-0.0478137,	-0.148412,	0.768143,	0.566525,	0.488889,	0.732106,	0.714945,	0.888284,	0.848198,	1.08066,	0.928826,	1.43769,	0.690892,	0.596527,	0.609039,	0.561562,	0.891208,	0.9138,	0.800396,	1.1579,	0.973169,	1.05969,	1.15512,	1.12235,	0.262496,	0.124497,	0.592191,	-0.103908,	0.231003,	0.137215,	0.368215,	-0.107938,	-0.298274,	-0.117323,	-0.141634,	-0.453152,	-0.711076,	-0.988793,	-0.626317,	-1.01676,	-1.29317,	-0.633043,	-1.18667,	-1.01924,	-0.796426,	-1.13774,	
