1.13119,	0.850078,	1.47707,	0.679508,	1.07351,	0.982573,	0.712581,	0.407029,	0.221842,	0.542722,	0.224403,	0.679371,	0.23272,	0.609059,	0.404197,	0.141763,	-0.352344,	0.32854,	-0.46188,	0.101291,	-0.692376,	-0.631282,	-1.001,	-0.526159,	-1.05678,	-1.25609,	-0.633715,	-1.05663,	-0.781606,	-1.08709,	-0.862646,	-1.47749,	-0.587725,	-0.686921,	-0.720951,	-0.623344,	-1.01345,	-0.730821,	-0.715473,	-0.695881,	-0.878574,	-0.826195,	-0.538622,	-0.673086,	-0.00288329,	0.275308,	-0.582161,	0.0232755,	-0.325424,	0.488604,	
0.772807,	-0.055076,	0.907915,	0.0725519,	0.818531,	0.992406,	0.809703,	1.22007,	1.28452,	1.05342,	0.598039,	0.70107,	0.678683,	0.541679,	0.600127,	1.09303,	1.38989,	0.768839,	0.780027,	1.30007,	1.19948,	0.861191,	1.09665,	0.792909,	0.275247,	0.509017,	-0.00457487,	-0.0511189,	0.234134,	-0.0181553,	-0.233907,	-0.140906,	-0.0886348,	-0.347844,	-0.467496,	-0.518441,	-0.6669,	-1.16605,	-0.591523,	-0.369279,	-1.0566,	-0.476463,	-1.12839,	-0.605681,	-1.045,	-1.08374,	-1.26696,	-1.33671,	-1.12151,	-0.663087,	
-0.556199,	-0.586781,	-1.20446,	-0.297613,	-0.138652,	-0.204583,	-0.842678,	-0.413103,	0.0100097,	0.134084,	-0.271297,	-0.126709,	0.376036,	0.277238,	0.517207,	0.21975,	0.245413,	0.97724,	0.987354,	1.22055,	0.451743,	0.575434,	0.532729,	0.954496,	0.679438,	1.39369,	0.598524,	0.53525,	1.03013,	1.21736,	0.719387,	0.539949,	0.64484,	0.452895,	0.682346,	1.00128,	0.640628,	0.0249084,	0.22167,	-0.210434,	0.13802,	-0.0311204,	0.434769,	0.149488,	-0.274166,	0.0395235,	-0.808938,	-0.643579,	-0.187996,	-0.273478,	
-0.546114,	-0.702476,	-1.03045,	-0.481903,	-1.32818,	-0.747868,	-0.8477,	-0.666816,	-1.09749,	-0.731795,	-0.622439,	-1.10167,	-0.829111,	-0.350677,	-0.720639,	-0.871973,	-0.508356,	-0.686349,	-0.204169,	-0.455868,	-0.282818,	0.0169342,	0.394056,	-0.151006,	0.458747,	0.458512,	0.769918,	-0.0591846,	0.354825,	0.744698,	0.441818,	0.462375,	1.00748,	0.977329,	0.991249,	1.09996,	0.516577,	0.837622,	0.950113,	0.739633,	1.20375,	1.32498,	0.720728,	1.1313,	0.490055,	1.13254,	0.369988,	0.747859,	0.447479,	0.803945,	
0.411863,	0.304495,	0.595622,	-0.0267963,	-0.0302056,	0.383967,	-0.636385,	0.196941,	-0.681386,	-0.294346,	-0.46129,	-0.453407,	-0.842007,	-0.650236,	-0.51915,	-1.36253,	-1.3406,	-0.483113,	-0.830437,	-1.26461,	-1.09647,	-1.37206,	-1.20983,	-1.19484,	-1.08591,	-1.22107,	-0.972298,	-1.13745,	-0.306177,	-1.02037,	-0.102792,	-0.54667,	-0.806692,	-0.416586,	0.0747282,	0.232777,	0.0829518,	0.32384,	0.629446,	-0.113555,	0.22784,	0.0586584,	0.291111,	0.893016,	0.965097,	1.18421,	0.943851,	0.478504,	1.3679,	1.27341,	
0.77715,	1.04313,	1.48252,	1.20172,	1.30347,	0.866576,	0.863431,	0.90409,	0.554613,	0.968835,	0.650807,	0.714368,	0.290273,	0.0313988,	0.274471,	0.0645944,	0.391466,	0.283833,	0.0721993,	-0.561697,	-0.770583,	-0.326317,	-0.675499,	-0.12231,	-0.160604,	-0.928267,	-0.480303,	-0.443443,	-0.792071,	-0.546735,	-0.518874,	-0.935684,	-0.768852,	-0.922912,	-1.46626,	-1.02811,	-0.801136,	-0.889561,	-0.992677,	-0.373439,	-0.418525,	-0.328982,	-0.728768,	-0.425345,	-0.0580228,	0.0951824,	-0.0742184,	-0.437845,	0.108736,	-0.373106,	
0.0609784,	0.419051,	0.781194,	0.750295,	0.511381,	0.865805,	0.602241,	1.22627,	1.30421,	1.23398,	0.803626,	0.905251,	0.723465,	1.27771,	1.38271,	1.41018,	1.04139,	1.05879,	0.576023,	1.28482,	0.784617,	0.480677,	1.10769,	0.896592,	0.936121,	0.252682,	0.550381,	0.44709,	-0.191545,	-0.00606738,	-0.23799,	0.103635,	-0.42828,	0.0880209,	-0.0750338,	-0.601008,	-0.577648,	-0.45951,	-0.392174,	-0.681881,	-0.773833,	-1.07111,	-0.980343,	-0.753229,	-0.603214,	-0.777491,	-1.48049,	-0.81509,	-1.03224,	-1.0041,	
-1.28666,	-0.541749,	-0.975756,	-0.990565,	-0.8229,	-0.712091,	-0.457525,	-0.353419,	-0.426627,	-0.328206,	-0.112596,	0.129219,	0.522538,	0.393191,	0.168434,	0.695057,	0.0887258,	0.101516,	0.206552,	0.361242,	0.589634,	0.627564,	0.389689,	0.961312,	0.550971,	0.626757,	1.12623,	1.35932,	1.46914,	1.05073,	1.45192,	0.974256,	0.892615,	0.655516,	0.694272,	0.687876,	0.191951,	0.927294,	0.017438,	0.297715,	0.593272,	0.0636265,	0.183326,	0.288553,	0.25651,	0.203045,	-0.633345,	-0.658372,	-0.107747,	-0.495857,	
-0.663098,	-0.625184,	-0.482253,	-0.825457,	-1.20238,	-0.988626,	-1.04326,	-0.524065,	-0.879117,	-0.802853,	-0.767175,	-1.11968,	-0.919154,	-0.83967,	-1.19113,	-0.728368,	-0.530518,	-0.726516,	-0.237827,	-0.258099,	-0.539954,	-0.352275,	-0.323538,	0.164285,	0.222771,	0.0186615,	0.381137,	0.729727,	0.663032,	0.674873,	0.164448,	0.52531,	0.800201,	0.735506,	0.385542,	0.614619,	1.262,	0.476063,	1.34714,	0.574685,	1.16889,	0.993292,	0.69439,	1.02157,	0.536212,	1.04012,	0.914797,	0.309295,	0.240242,	0.260147,	
0.0449431,	0.372925,	0.678024,	0.36779,	0.172626,	0.416937,	-0.449191,	0.261674,	-0.636389,	-0.322993,	-0.789022,	-0.460677,	-1.09814,	-0.41269,	-0.400526,	-0.394791,	-0.378912,	-0.906363,	-1.17658,	-1.37429,	-0.984487,	-0.914106,	-0.734218,	-1.40157,	-0.800527,	-0.913121,	-1.21774,	-0.40003,	-0.68953,	-0.773009,	-0.198225,	-0.404335,	-0.52281,	-0.044821,	-0.257816,	-0.139572,	0.0855208,	-0.127496,	-0.15559,	0.282798,	0.66748,	0.301084,	0.0966972,	0.512866,	0.448457,	0.622435,	1.11998,	0.747959,	0.783781,	0.7944,	
0.605221,	0.746469,	0.584672,	0.928802,	0.748249,	0.770182,	0.869427,	0.526281,	0.855581,	1.01177,	0.485728,	0.956605,	0.168296,	0.404824,	-0.0740361,	0.0506535,	-0.264613,	-0.174963,	-0.321245,	-0.295602,	-0.488099,	-0.622026,	-0.256869,	-0.0462215,	-0.0949556,	-0.894868,	-0.708943,	-0.884254,	-0.79754,	-1.1093,	-1.34993,	-1.01689,	-1.30478,	-1.46817,	-0.545297,	-1.06509,	-0.519889,	-0.694989,	-1.41644,	-0.700914,	-0.623359,	-0.624252,	-0.649455,	-0.909028,	-0.273876,	-0.731862,	-0.498078,	0.116619,	0.179442,	-0.175359,	
