0.785947,	1.03867,	1.46484,	1.17101,	1.26003,	0.810843,	0.79596,	0.825556,	0.465798,	0.870628,	0.54419,	0.600406,	0.170103,	-0.0937765,	0.14554,	-0.0668035,	0.258914,	0.151451,	-0.0586899,	-0.689786,	-0.894591,	-0.445005,	-0.787682,	-0.226866,	-0.25649,	-1.01452,	-0.556068,	-0.507961,	-0.844696,	-0.586941,	-0.546261,	-0.949977,	-0.769908,	-0.910721,	-1.44094,	-0.989926,	-0.750456,	-0.826897,	-0.918655,	-0.288798,	-0.324111,	-0.225738,	-0.617727,	-0.307615,	0.0652197,	0.222706,	0.0563117,	-0.305612,	0.24135,	-0.241436,	
0.190389,	0.544909,	0.902242,	0.865324,	0.619241,	0.965419,	0.692613,	1.3065,	1.37349,	1.29163,	0.849054,	0.93801,	0.743229,	1.28428,	1.37602,	1.3903,	1.00852,	1.01325,	0.518274,	1.21544,	0.704296,	0.390219,	1.008,	0.788663,	0.821034,	0.131586,	0.424486,	0.317654,	-0.32323,	-0.138684,	-0.370213,	-0.0268744,	-0.55577,	-0.035178,	-0.19271,	-0.711985,	-0.680817,	-0.553841,	-0.476724,	-0.755806,	-0.836393,	-1.12168,	-1.01842,	-0.77843,	-0.615288,	-0.776316,	-1.46608,	-0.787588,	-0.991917,	-0.951371,	
-1.22203,	-0.465886,	-0.88941,	-0.894598,	-0.718271,	-0.599845,	-0.338784,	-0.229369,	-0.298508,	-0.197298,	0.0197929,	0.261767,	0.65392,	0.522094,	0.293571,	0.815176,	0.202628,	0.208063,	0.30468,	0.449969,	0.668074,	0.694933,	0.445315,	1.00464,	0.581565,	0.644313,	1.13058,	1.35041,	1.44705,	1.0157,	1.4043,	0.914508,	0.821342,	0.573431,	0.602195,	0.586727,	0.0827411,	0.811114,	-0.104552,	0.171135,	0.463367,	-0.0683069,	0.0506832,	0.156526,	0.126418,	0.0761874,	-0.7557,	-0.775002,	-0.217487,	-0.59761,	
-0.755848,	-0.708004,	-0.554315,	-0.886042,	-1.25088,	-1.02456,	-1.06627,	-0.533916,	-0.875713,	-0.786228,	-0.737495,	-1.07724,	-0.864382,	-0.773111,	-1.11345,	-0.640341,	-0.433025,	-0.62053,	-0.124408,	-0.138381,	-0.415132,	-0.223597,	-0.192288,	0.296793,	0.355215,	0.149718,	0.509496,	0.854106,	0.782189,	0.787616,	0.269651,	0.621922,	0.887257,	0.812137,	0.45098,	0.668212,	1.30321,	0.504482,	1.36248,	0.576797,	1.15775,	0.969014,	0.657214,	0.97187,	0.474481,	0.966981,	0.830972,	0.215626,	0.137665,	0.149686,	
-0.0722969,	0.250076,	0.550795,	0.237452,	0.0404803,	0.284305,	-0.580985,	0.132035,	-0.762577,	-0.44447,	-0.904573,	-0.569149,	-1.19845,	-0.503832,	-0.481592,	-0.46497,	-0.437504,	-0.952782,	-1.21037,	-1.3951,	-0.992112,	-0.908472,	-0.715383,	-1.36972,	-0.755982,	-0.856326,	-1.14926,	-0.320552,	-0.599847,	-0.674017,	-0.0909141,	-0.289776,	-0.402148,	0.0807378,	-0.128614,	-0.00801823,	0.218111,	0.00480688,	-0.0248964,	0.410576,	0.791066,	0.419244,	0.208249,	0.616696,	0.543528,	0.707796,	1.19478,	0.811448,	0.835326,	0.833487,	
0.631458,	0.759594,	0.584554,	0.915442,	0.721781,	0.73087,	0.817665,	0.462584,	0.780588,	0.926223,	0.390493,	0.852629,	0.0566166,	0.286558,	-0.197708,	-0.077188,	-0.395347,	-0.307283,	-0.453829,	-0.427125,	-0.617247,	-0.747509,	-0.377432,	-0.160661,	-0.202128,	-0.993703,	-0.798452,	-0.963543,	-0.865817,	-1.16588,	-1.39425,	-1.04852,	-1.32339,	-1.47356,	-0.537436,	-1.04405,	-0.485879,	-0.648349,	-1.35764,	-0.630535,	-0.542107,	-0.532939,	-0.548993,	-0.800421,	-0.158209,	-0.610291,	-0.371818,	0.246308,	0.311262,	-0.0427242,	
-0.0277294,	0.360755,	0.757663,	0.848444,	0.618427,	0.441627,	1.03826,	0.696883,	1.22059,	0.403015,	0.947169,	1.16701,	0.65608,	0.829821,	0.687586,	0.818395,	0.886963,	1.00849,	0.475885,	0.937839,	0.609035,	0.516507,	0.451188,	0.288166,	1.01005,	0.903393,	0.69587,	0.511072,	-0.138549,	-0.0530148,	-0.324487,	-0.611837,	-0.395244,	-0.108561,	-0.276358,	-0.447973,	-0.636513,	-0.866888,	-0.724884,	-0.529965,	-0.586162,	-0.821095,	-0.689105,	-0.82149,	-1.3644,	-0.993948,	-1.15184,	-1.39772,	-1.3229,	-1.24375,	
-0.731422,	-0.924919,	-0.606208,	-0.980009,	-1.15585,	-0.5555,	-0.724687,	0.0308911,	0.0839943,	-0.333652,	-0.603108,	0.143125,	0.408794,	0.642342,	-0.174713,	0.313509,	0.536858,	0.727687,	0.841738,	0.847384,	0.992329,	0.699684,	0.95959,	0.537525,	0.513253,	1.46001,	0.779916,	1.09497,	1.45708,	0.665668,	0.648113,	0.762359,	1.31005,	0.715501,	0.537486,	0.348016,	0.518023,	0.414277,	0.0839191,	0.296571,	-0.141844,	0.283719,	-0.41917,	0.0431731,	0.160005,	-0.4927,	-0.37611,	-0.347596,	-0.944211,	-0.59293,	
-0.524623,	-1.01673,	-0.464618,	-0.386271,	-0.558078,	-0.93652,	-1.19229,	-0.7435,	-1.26224,	-0.540897,	-0.867079,	-0.866309,	-1.26354,	-1.30602,	-1.09237,	-0.431853,	-0.314254,	-0.453337,	-0.348915,	-0.7596,	-0.323932,	0.00414053,	-0.306084,	0.377169,	-0.421502,	-0.0906753,	0.198794,	-0.15488,	0.604488,	0.525857,	0.584473,	0.965361,	1.06806,	1.06516,	0.653035,	0.838139,	1.18004,	0.57028,	0.593172,	0.766499,	1.02448,	1.46573,	1.1868,	0.761815,	0.70548,	1.21932,	1.22686,	0.892595,	0.439269,	0.196312,	
0.863578,	0.522468,	0.793911,	-0.188571,	0.237137,	-0.161823,	0.280843,	-0.455392,	-0.301876,	-0.446579,	-0.105604,	-0.343176,	-0.895118,	-0.861267,	-1.11542,	-0.640149,	-0.794889,	-1.24173,	-1.30035,	-0.998961,	-0.584233,	-0.94754,	-1.46417,	-1.43067,	-0.65706,	-0.978726,	-1.00614,	-0.548944,	-0.915726,	-0.681294,	-0.428488,	-0.188772,	-0.646066,	-0.2344,	0.184397,	-0.617491,	-0.00752554,	-0.0807997,	-0.0857443,	-0.0322915,	0.559359,	0.889523,	0.170654,	0.850165,	0.344071,	1.21341,	1.08888,	0.768557,	1.12247,	0.932305,	
1.27396,	0.842848,	0.5711,	1.0904,	1.40115,	0.666393,	0.876937,	1.15623,	0.399699,	1.25168,	1.00583,	0.730356,	0.278049,	0.50889,	0.440415,	0.82422,	0.588938,	0.598261,	0.215212,	-0.160177,	0.271988,	-0.28119,	-0.623963,	-0.550989,	-0.329258,	-0.557493,	-0.434983,	-0.264784,	-0.358889,	-0.839102,	-0.454413,	-1.3376,	-1.42719,	-1.18992,	-0.919783,	-0.964721,	-0.58024,	-0.916853,	-0.991812,	-0.838286,	-0.616895,	-1.25271,	-0.400844,	-0.984627,	-0.567768,	-0.703055,	-0.499851,	-0.112544,	-0.507326,	-0.299009,	
